concurrency,repetition,job_id,url,client_latency_s,server_proc_s,num_speakers,upload_save_s,queue_wait_s,load_audio_s,prepare_asr_model_s,transcribe_s,prepare_align_model_s,align_s,prepare_diarize_model_s,diarize_s,assign_speakers_s,format_outputs_s,write_outputs_s,pipeline_s,processing_s,persist_metadata_s,total_server_s
1,1,1-61245d442124,http://localhost:8357,10.192532,8.68886,5,0.014326,0.000118,0.108039,7e-06,1.882187,7e-06,3.029297,7e-06,3.198775,0.469376,0.000241,0.000194,8.688459,8.6889,0.005771,8.709256
1,2,0-eac406d68bb8,http://localhost:8357,10.174217,8.598002,5,0.012849,0.00012,0.152426,7e-06,1.887057,7e-06,2.883262,6e-06,3.199447,0.466143,0.000219,0.000192,8.589079,8.598044,0.00586,8.616998
1,3,0-441268e13c2d,http://localhost:8357,10.189702,8.689018,5,0.014731,0.000119,0.222485,6e-06,1.886401,6e-06,2.8834,6e-06,3.197213,0.489346,0.000228,0.000166,8.679571,8.689057,0.005596,8.709624
1,4,1-82dfd4415faa,http://localhost:8357,10.164419,8.706915,5,0.013358,0.000118,0.114819,8e-06,1.876655,7e-06,3.046178,6e-06,3.194269,0.473904,0.000243,0.000167,8.706569,8.706943,0.005168,8.725713
1,5,1-893b06b9995e,http://localhost:8357,10.165607,8.946763,5,0.014815,0.000141,0.114084,7e-06,1.881699,7e-06,3.277712,6e-06,3.19936,0.472655,0.000211,0.00017,8.946277,8.946843,0.005754,8.967714
2,1,0-599d3f1cc0b3,http://localhost:8357,14.277096,13.437245,5,0.013518,0.000155,0.194179,7e-06,3.531931,7e-06,2.927052,6e-06,6.318369,0.456142,0.000218,0.000164,13.428386,13.437276,0.005353,13.456429
2,1,1-14979732e24c,http://localhost:8357,14.294661,13.429521,5,0.014037,0.00014,0.121114,7e-06,3.470804,5e-06,3.0777,5e-06,6.287822,0.470898,0.000243,0.000165,13.429087,13.429551,0.005268,13.449114
2,2,0-d271baca0764,http://localhost:8357,14.27458,13.3121,5,0.013992,0.000116,0.142757,5e-06,3.545901,4e-06,2.904468,6e-06,6.200908,0.508752,0.000226,0.000262,13.303627,13.312125,0.00524,13.33159
2,2,1-68cb1dbaf66e,http://localhost:8357,14.290408,13.385071,5,0.014422,0.000129,0.116605,5e-06,3.520743,5e-06,3.061788,7e-06,6.20487,0.479958,0.000252,0.000179,13.384728,13.385095,0.005201,13.405006
2,3,1-224ec114b150,http://localhost:8357,14.29091,13.221635,5,0.014723,0.00013,0.112838,4e-06,3.29705,6e-06,3.049497,6e-06,6.292571,0.468458,0.000214,0.000168,13.221151,13.22167,0.005862,13.242514
2,3,0-23980307f923,http://localhost:8357,14.306329,13.230651,5,0.013642,0.000115,0.295739,5e-06,3.278266,7e-06,2.870748,5e-06,6.31296,0.463518,0.000218,0.000154,13.221901,13.230682,0.005279,13.249835
2,4,0-a85f5e078ffe,http://localhost:8357,14.318742,13.371161,5,0.013785,0.000117,0.176524,6e-06,3.553966,5e-06,2.92073,6e-06,6.241396,0.46949,0.00023,0.000179,13.362852,13.371227,0.005202,13.39045
2,4,1-2eb3193aad29,http://localhost:8357,14.321887,13.41783,5,0.014651,0.00012,0.111909,8e-06,3.546094,7e-06,3.075073,5e-06,6.219424,0.464055,0.000253,0.000175,13.417333,13.41787,0.005832,13.438593
