concurrency,repetition,container,jobs_on_replica,samples,cpu_cores_n,cpu_cores_mean,cpu_cores_median,cpu_cores_sd,cpu_cores_cv,cpu_cores_sem,cpu_cores_ci95_lo,cpu_cores_ci95_hi,cpu_cores_p25,cpu_cores_p75,cpu_cores_iqr,cpu_cores_p90,cpu_cores_p95,cpu_cores_min,cpu_cores_max,ram_GiB_n,ram_GiB_mean,ram_GiB_median,ram_GiB_sd,ram_GiB_cv,ram_GiB_sem,ram_GiB_ci95_lo,ram_GiB_ci95_hi,ram_GiB_p25,ram_GiB_p75,ram_GiB_iqr,ram_GiB_p90,ram_GiB_p95,ram_GiB_min,ram_GiB_max
1,1,whisperx-0,0,3,3,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.36,2.36,0.0,0.0,0.0,2.36,2.36,2.36,2.36,0.0,2.36,2.36,2.36,2.36
1,1,whisperx-1,1,3,3,0.86,1.08,0.65,0.7551,0.38,-0.76,2.48,0.61,1.23,0.62,1.32,1.35,0.13,1.37,3,3.95,3.95,0.01,0.0015,0.0,3.94,3.97,3.95,3.96,0.0,3.96,3.96,3.95,3.96
1,1,whisperx-gateway,0,3,3,0.03,0.0,0.06,1.6997,0.03,-0.11,0.18,0.0,0.05,0.05,0.08,0.09,0.0,0.1,3,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,whisperx-0,1,3,3,1.15,1.55,0.92,0.7969,0.53,-1.13,3.44,0.83,1.68,0.85,1.76,1.78,0.1,1.81,3,2.39,2.38,0.03,0.0139,0.02,2.31,2.47,2.37,2.4,0.03,2.42,2.42,2.36,2.42
1,2,whisperx-1,0,3,3,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
1,2,whisperx-gateway,0,3,3,0.0,0.0,0.0,1.7321,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,whisperx-0,1,2,2,1.9,1.9,0.62,0.3269,0.44,-3.68,7.49,1.68,2.12,0.44,2.25,2.3,1.46,2.34,2,2.41,2.41,0.03,0.0112,0.02,2.16,2.65,2.4,2.41,0.02,2.42,2.42,2.39,2.42
1,3,whisperx-1,0,2,2,0.0,0.0,0.0,0.0673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
1,3,whisperx-gateway,0,2,2,0.0,0.0,0.0,0.1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,whisperx-0,0,2,2,0.0,0.0,0.0,0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.36,2.36,0.0,0.0,0.0,2.36,2.36,2.36,2.36,0.0,2.36,2.36,2.36,2.36
1,4,whisperx-1,1,2,2,1.28,1.28,0.28,0.218,0.2,-1.23,3.79,1.18,1.38,0.2,1.44,1.46,1.08,1.48,2,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
1,4,whisperx-gateway,0,2,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,whisperx-0,0,3,3,0.0,0.0,0.0,0.0619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.36,2.36,0.0,0.0,0.0,2.36,2.36,2.36,2.36,0.0,2.36,2.36,2.36,2.36
1,5,whisperx-1,1,3,3,1.3,1.1,0.59,0.4529,0.34,-0.16,2.76,0.97,1.53,0.56,1.79,1.87,0.84,1.96,3,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
1,5,whisperx-gateway,0,3,3,0.01,0.0,0.01,1.72,0.01,-0.02,0.04,0.0,0.01,0.01,0.02,0.02,0.0,0.02,3,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,whisperx-0,1,3,3,1.16,1.13,0.07,0.064,0.04,0.97,1.34,1.12,1.19,0.07,1.22,1.23,1.1,1.24,3,2.4,2.39,0.02,0.0094,0.01,2.34,2.45,2.39,2.41,0.02,2.42,2.42,2.39,2.42
