concurrency,repetition,job_id,url,client_latency_s,server_proc_s,num_speakers,upload_save_s,queue_wait_s,load_audio_s,prepare_asr_model_s,transcribe_s,prepare_align_model_s,align_s,prepare_diarize_model_s,diarize_s,assign_speakers_s,format_outputs_s,write_outputs_s,pipeline_s,processing_s,persist_metadata_s,total_server_s
1,1,0-42591bb9f4a3,http://localhost:8357,10.211588,8.59128,5,0.013589,0.000117,0.148882,7e-06,1.880229,5e-06,2.869583,6e-06,3.213144,0.469878,0.000223,0.000222,8.582492,8.591312,0.005313,8.610449
1,2,0-3c480e2bd71e,http://localhost:8357,10.192037,8.705212,5,0.013386,0.000123,0.274425,6e-06,1.868091,6e-06,2.88463,6e-06,3.214353,0.454045,0.000227,0.000174,8.696329,8.705243,0.005335,8.724205
1,3,1-963a87637b29,http://localhost:8357,10.183486,8.708649,5,0.014867,0.000126,0.11797,7e-06,1.881846,6e-06,3.03475,6e-06,3.203346,0.469683,0.000211,0.00015,8.708253,8.70868,0.005237,8.729037
1,4,1-24f66b7cbef5,http://localhost:8357,10.167235,8.645828,5,0.014633,0.000119,0.108292,7e-06,1.85212,7e-06,3.030918,6e-06,3.194713,0.458642,0.000215,0.000185,8.645452,8.645861,0.005674,8.666411
1,5,0-49919e66796a,http://localhost:8357,10.175791,8.681399,5,0.01488,0.000115,0.217777,5e-06,1.889991,6e-06,2.871553,6e-06,3.214056,0.47871,0.000224,0.000172,8.672803,8.681428,0.005222,8.701776
2,1,0-361c0026d886,http://localhost:8357,14.270765,13.254073,5,0.014309,0.000128,0.149386,1e-05,3.540087,7e-06,2.880666,6e-06,6.190099,0.484056,0.000268,0.000174,13.245074,13.25411,0.005571,13.274253
2,1,1-c88266aa7baf,http://localhost:8357,14.299494,13.36161,5,0.013372,0.000114,0.123448,8e-06,3.556755,5e-06,3.016913,5e-06,6.185894,0.477403,0.000229,0.000171,13.361216,13.361638,0.005246,13.380493
2,2,0-f71374c55a6a,http://localhost:8357,14.275382,13.328471,5,0.012787,0.000115,0.209497,7e-06,3.419312,6e-06,2.916361,6e-06,6.308274,0.4653,0.000221,0.000181,13.319511,13.3285,0.005197,13.346752
2,2,1-412302f62cdb,http://localhost:8357,14.290842,13.342903,5,0.014342,0.000153,0.113007,7e-06,3.363954,7e-06,3.084927,5e-06,6.30524,0.474713,0.00022,0.00016,13.342552,13.34296,0.005258,13.362829
2,3,1-a6cd6f86a372,http://localhost:8357,14.292221,13.228146,5,0.013735,0.000114,0.111714,8e-06,3.306216,7e-06,3.033623,6e-06,6.317711,0.457686,0.000256,0.000173,13.227727,13.228182,0.005665,13.247831
