concurrency,repetition,container,jobs_on_replica,samples,cpu_cores_n,cpu_cores_mean,cpu_cores_median,cpu_cores_sd,cpu_cores_cv,cpu_cores_sem,cpu_cores_ci95_lo,cpu_cores_ci95_hi,cpu_cores_p25,cpu_cores_p75,cpu_cores_iqr,cpu_cores_p90,cpu_cores_p95,cpu_cores_min,cpu_cores_max,ram_GiB_n,ram_GiB_mean,ram_GiB_median,ram_GiB_sd,ram_GiB_cv,ram_GiB_sem,ram_GiB_ci95_lo,ram_GiB_ci95_hi,ram_GiB_p25,ram_GiB_p75,ram_GiB_iqr,ram_GiB_p90,ram_GiB_p95,ram_GiB_min,ram_GiB_max
1,1,whisperx-0,1,3,3,0.85,1.09,0.63,0.7468,0.37,-0.72,2.42,0.61,1.21,0.6,1.28,1.3,0.13,1.32,3,2.38,2.38,0.03,0.0122,0.02,2.31,2.45,2.37,2.4,0.03,2.41,2.41,2.36,2.41
1,1,whisperx-1,0,3,3,0.01,0.0,0.01,0.9971,0.0,-0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.01,3,3.94,3.94,0.0,0.0,0.0,3.94,3.94,3.94,3.94,0.0,3.94,3.94,3.94,3.94
1,1,whisperx-gateway,0,3,3,0.04,0.0,0.06,1.6987,0.04,-0.12,0.19,0.0,0.05,0.05,0.09,0.1,0.0,0.11,3,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,whisperx-0,1,3,3,1.24,1.51,0.9,0.7224,0.52,-0.99,3.47,0.88,1.74,0.87,1.88,1.92,0.24,1.97,3,2.37,2.38,0.02,0.0102,0.01,2.31,2.43,2.36,2.39,0.02,2.39,2.39,2.35,2.4
1,2,whisperx-1,0,3,3,0.0,0.0,0.0,0.0517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.94,3.94,0.0,0.0,0.0,3.94,3.94,3.94,3.94,0.0,3.94,3.94,3.94,3.94
1,2,whisperx-gateway,0,3,3,0.0,0.0,0.0,1.7321,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,whisperx-0,0,2,2,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.35,2.35,0.0,0.0,0.0,2.35,2.35,2.35,2.35,0.0,2.35,2.35,2.35,2.35
1,3,whisperx-1,1,2,2,1.8,1.8,0.49,0.2704,0.34,-2.57,6.17,1.63,1.97,0.34,2.07,2.11,1.46,2.14,2,3.94,3.94,0.0,0.0,0.0,3.94,3.94,3.94,3.94,0.0,3.94,3.94,3.94,3.94
1,3,whisperx-gateway,0,2,2,0.0,0.0,0.0,0.0832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,whisperx-0,0,2,2,0.0,0.0,0.0,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.35,2.35,0.0,0.0,0.0,2.35,2.35,2.35,2.35,0.0,2.35,2.35,2.35,2.35
1,4,whisperx-1,1,2,2,1.27,1.27,0.27,0.2099,0.19,-1.12,3.65,1.17,1.36,0.19,1.42,1.44,1.08,1.45,2,3.94,3.94,0.0,0.0,0.0,3.94,3.94,3.94,3.94,0.0,3.94,3.94,3.94,3.94
1,4,whisperx-gateway,0,2,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
