experiment,concurrency,n,wall_mean_s,wall_sd_s,server_proc_mean_s,server_proc_sd_s,gpu_util_mean_pct,gpu_util_sd_pct,files_per_min_mean,files_per_min_sd,jobs_failed
process_short,1,5,10.100,0.000,8.700,0.000,43.380,2.129,5.940,0.000,0
process_short,2,5,14.100,0.000,13.660,0.055,71.280,1.542,8.488,0.004,0
process_short,3,5,20.240,0.055,18.360,0.089,73.480,1.648,8.890,0.019,0
thread_short,1,5,10.100,0.000,8.900,0.000,40.360,2.084,5.936,0.005,0
thread_short,2,5,28.240,0.055,27.000,0.283,31.120,0.807,4.246,0.005,0
thread_short,4,5,56.440,0.055,27.300,0.158,32.020,1.285,4.248,0.004,0
process_long_3rep,1,5,60.560,0.055,59.760,0.167,43.760,0.365,0.990,0.000,0
process_long_3rep,3,5,116.820,0.045,114.220,0.268,73.960,0.643,1.540,0.000,0
process_long_4rep,4,5,142.600,0.840,140.580,0.460,80.620,0.622,1.684,0.009,0
gateway_short,3,5,20.040,0.918,17.940,0.152,73.880,3.068,8.994,0.434,0
gateway_long,3,5,114.400,0.897,111.760,0.658,75.360,0.744,1.574,0.013,0
batch_short,10,3,60.000,2.339,16.333,0.473,83.433,4.315,10.017,0.401,0
batch_long,10,3,370.933,14.989,101.367,2.797,76.467,3.092,1.620,0.070,0
